51217,My Heart Will Go On  [Titanic soundtrack],C_line Dion,Unkown Album
52036,I Feel For You,Chaka Khan,Unkown Album
51417,Tequila,"Champs, The",Unkown Album
51824,I've Never Been to Me,Charlene,Unkown Album
51777,La Mer,Charles Trenet,Unkown Album
51778,Que Reste-T-Il De Nos Amours?,Charles Trenet,Unkown Album
50179,Christmas Time Is Here,Charlie Brown Christmas,Unkown Album
52150,The South's Gonna Do It,Charlie Daniels Band,Unkown Album
50329,The Most Beautiful Girl,Charlie Rich,Unkown Album
3604,I Want You to Want Me,Cheap Trick,Unkown Album
51143,She's Tight,Cheap Trick,Unkown Album
51032,Surrender,Cheap Trick,Unkown Album
51096,Cheers theme,Cheers theme,Unkown Album
50368,Bang Bang (My Baby Shot Me Down),Cher,Unkown Album
50214,Believe,Cher,Unkown Album
50370,Dark Lady,Cher,Unkown Album
50369,"Gypsies, Tramps and Thieves",Cher,Unkown Album
50367,Half Breed,Cher,Unkown Album
1108,If I Could Turn Back Time,Cher,Unkown Album
50371,Strong Enough,Cher,Unkown Album
51106,Zoot Suit Riot,Cherry Poppin' Daddies,Unkown Album
50336,Le Freak,Chic,Unkown Album
52351,Hard to Say I'm Sorry,Chicago,Unkown Album
51411,Will You Still Love Me?,Chicago,Unkown Album
51023,And All That Jazz,Chicago soundtrack,Unkown Album
51932,When You're Good to Mama,Chicago soundtrack,Unkown Album
51465,Malague–a Salerosa,Chingon,Unkown Album
51363,What I Did for Love  [A Chorus Line soundtrack],"Chorus Line, A  soundtrack",Unkown Album
51550,The Lady in Red,Chris de Burgh,Unkown Album
2104,Wicked Game,Chris Isaak,Unkown Album
51711,Arthur's Theme,Christopher Cross,Unkown Album
51712,Sailing,Christopher Cross,Unkown Album
51713,Think of Laura,Christopher Cross,Unkown Album
51062,Ride Like the Wind,Christopher Cross (with M. McDonald),Unkown Album
52221,Maybellene,Chuck Berry,Unkown Album
52222,No Particular Place to Go,Chuck Berry,Unkown Album
52223,You Never Can Tell,Chuck Berry,Unkown Album
712,Laverne and Shirley Theme,Cindy Grecco,Unkown Album
51592,Ain't Got No Home,"Clarence ""Frogman"" Henry",Unkown Album
52310,Strokin',Clarence Carter,Unkown Album
50275,London Calling,"Clash, The",Unkown Album
50274,Rock the Casbah,"Clash, The",Unkown Album
51284,The Guns of Brixton,"Clash, The",Unkown Album
52397,Everyday With You Girl,Classics IV,Unkown Album
51379,Spooky,Classics IV,Unkown Album
51387,Stormy,Classics IV,Unkown Album
51929,Along Came Jones,"Coasters, The",Unkown Album
51930,Charlie Brown,"Coasters, The",Unkown Album
809,Yakety Yak,"Coasters, The",Unkown Album
51345,I Get a Kick Out of You  [Anything Goes soundtrack],Cole Porter,Unkown Album
51878,I've Got You Under My Skin,Cole Porter,Unkown Album
51152,Let's Misbehave  [Paris and Anything Goes soundtrack],Cole Porter,Unkown Album
51346,Night and Day  [The Gay Divorcee soundtrack],Cole Porter,Unkown Album
52122,You Do Something To Me,Cole Porter,Unkown Album
